
Comand Not Found
> send
******** Send Data ********
JYRO_X	JYRO_Y	ACCE_X	ACCE_Z
> 33	16	16	491	522
34	15	16	506	522
35	15	16	506	522
36	15	15	506	537
37	15	15	506	537
38	16	16	521	552
39	15	16	536	552
40	16	16	551	552
41	15	15	566	567
42	15	15	566	567
43	14	15	580	567
44	15	15	594	567
45	14	14	608	581
46	14	14	608	581
47	14	14	608	581
48	14	14	608	581
49	14	15	608	595
50	14	15	608	595
51	14	15	608	595
52	14	16	608	610
53	14	15	608	625
54	14	15	608	625
55	14	15	608	625
56	14	14	608	639
11	14	14	621	639
12	14	14	621	639
13	14	15	621	653
14	14	15	621	653
15	15	15	635	653
16	15	15	635	653
17	14	14	649	667
18	14	15	649	681
19	14	14	649	695
20	14	14	649	695
21	14	14	649	695
22	14	14	649	695
23	13	14	662	695
24	14	14	675	695
25	13	14	688	695
26	14	14	701	695
27	13	14	714	695
28	14	14	727	695
29	14	14	727	695
30	14	15	727	709
31	15	15	741	709
32	15	15	741	709
33	15	15	741	709
34	15	15	741	709
35	15	16	741	724
25	15	16	761	724
26	15	16	761	724
27	15	16	761	724
28	15	16	761	724
29	15	16	761	724
30	15	16	761	724
31	15	16	761	724
32	15	16	761	724
33	15	16	761	724
34	15	16	761	724
35	15	16	761	724
36	15	15	761	739
37	14	14	775	753
38	14	15	775	767
39	14	14	775	781
40	14	14	775	781
41	14	14	775	781
12	14	14	788	781
13	14	14	788	781
14	14	14	788	781
15	14	14	788	781
16	14	14	788	781
17	14	14	788	781
18	14	14	788	781
19	14	14	788	781
20	14	14	788	781
21	14	14	788	781
22	14	14	788	781
23	14	14	788	781
24	14	14	788	781
25	15	15	802	795
26	15	15	802	795
27	15	15	802	795
28	14	15	816	795
29	15	15	830	795
30	15	15	830	795
31	15	16	830	810
32	15	16	830	810
33	15	16	830	810
34	15	16	830	810
35	15	16	830	810
36	15	16	830	810
37	15	16	830	810
38	15	16	830	810
39	15	16	830	810
40	15	16	830	810
41	15	16	830	810
42	15	15	830	825
25	15	15	849	825
26	15	15	849	825
27	15	15	849	825
28	15	15	849	825
29	15	14	849	839
30	15	15	849	853
31	15	15	849	853
32	15	15	849	853
33	15	15	849	853
34	15	16	849	868
35	14	16	863	868
36	14	15	863	883
37	14	15	863	883
38	14	15	863	883
39	15	16	877	898
40	15	17	877	914
41	15	16	877	930
42	14	16	891	930
43	15	16	905	930
44	15	17	905	946
45	15	16	905	962
46	15	16	905	962
47	15	16	905	962
48	15	16	905	962
49	15	16	905	962
50	15	16	905	962
51	16	17	920	978
52	15	16	935	994
53	15	16	935	994
54	15	16	935	994
55	15	16	935	994
56	15	15	935	1009
57	15	16	935	1024
58	15	16	935	1024
59	15	16	935	1024
60	15	15	935	1039
61	15	16	935	1054
15	15	16	949	1054
16	15	16	962	1068
17	15	16	17	17
18	15	16	17	17
19	16	16	32	17
20	16	16	32	17
21	16	17	32	33
22	15	16	47	49
23	15	16	47	49
24	15	16	47	49
25	15	16	47	49
26	16	16	62	49
27	15	16	77	49
28	15	16	77	49
29	15	16	77	49
30	15	15	77	64
31	15	15	77	64
32	16	16	92	79
33	16	16	13	12
34	16	16	13	12
35	15	15	28	27
36	15	15	28	27
37	15	15	28	27
38	15	15	28	27
39	15	15	28	27
40	15	15	28	27
41	15	15	28	27
42	14	15	42	27
43	15	15	56	27
44	15	16	56	42
45	15	16	56	42
46	15	16	56	42
47	15	15	56	57
48	14	15	70	57
49	15	15	84	57
50	15	15	12	13
51	15	15	12	13
52	15	15	12	13
53	15	15	12	13
54	14	15	26	13
55	15	15	40	13
56	14	15	54	13
57	15	15	68	13
58	14	15	82	13
59	15	15	96	13
60	15	15	96	13
61	15	15	96	13
62	15	15	96	13
63	15	15	96	13
64	15	15	96	13
65	15	16	96	28
66	16	16	111	28
67	16	16	111	28
68	16	15	111	43
12	16	15	125	43
13	16	15	125	43
14	16	15	125	43
15	16	15	125	43
16	15	15	140	43
17	16	15	155	43
18	16	15	155	43
19	16	15	155	43
20	16	16	155	58
21	15	15	170	73
22	16	15	185	73
23	15	14	200	87
24	15	15	200	101
25	15	14	200	115
26	15	15	200	129
27	15	15	200	129
28	15	15	200	129
29	15	15	200	129
30	15	15	200	129
31	15	15	200	129
32	15	15	200	129
16	15	15	215	129
17	15	16	215	144
18	15	15	215	159
19	16	16	230	174
20	16	15	230	189
21	16	15	230	189
22	16	15	230	189
23	16	16	230	204
24	16	16	230	204
25	16	16	230	204
26	16	16	230	204
27	16	16	244	218
28	16	16	17	17
29	15	15	32	32
30	15	15	32	32
31	15	15	32	32
32	15	16	32	47
33	15	16	32	47
34	15	15	32	62
35	15	16	32	77
36	15	15	32	92
37	15	15	32	92
38	15	15	32	92
39	15	15	32	92
40	15	15	32	92
41	15	15	32	92
42	16	16	47	107
43	15	16	62	107
44	15	15	62	122
45	15	15	62	122
46	15	15	62	122
