PWM値	ロリコン値	ロリコン速度	ロリコン速度(30区間平均)	ロリコン速度(50区間平均)
240	1	0	0	1.673469388
260	1	0	0	1.673469388
280	1	0	0	1.714285714
300	1	0	0	1.755102041
320	1	0	0	1.775510204
340	1	0	0	1.775510204
360	1	0	0	1.816326531
380	1	0	0	1.836734694
400	1	0	0.806451613	1.836734694
420	1	0	0.838709677	1.857142857
440	1	0	0.870967742	1.857142857
460	1	0	0.870967742	1.87755102
480	1	0	0.903225806	1.87755102
500	1	0	0.935483871	1.897959184
520	1	0	0.967741935	1.918367347
540	1	0	2.548387097	1.918367347
560	1	0	2.580645161	1.93877551
580	1	0	2.64516129	1.959183673
600	1	0	2.64516129	1.979591837
620	1	0	2.64516129	2
640	1	0	2.709677419	2
660	1	0	2.774193548	2.020408163
680	1	0	2.806451613	2.040816327
700	1	0	2.806451613	2.06122449
720	1	0	2.870967742	2.081632653
740	1	0	2.903225806	2.102040816
760	1	0	2.903225806	2.12244898
780	1	0	2.935483871	2.142857143
800	1	0	2.935483871	2.163265306
820	1	0	2.967741935	2.183673469
840	1	0	2.967741935	2.204081633
860	1	0	3	2.224489796
880	1	0	3.032258065	2.244897959
900	1	0	3.032258065	2.265306122
920	1	0	3.064516129	2.285714286
940	1	0	3.096774194	2.306122449
960	1	0	3.129032258	2.326530612
980	1	0	3.161290323	2.346938776
1000	1	25	3.161290323	2.367346939
10780	26	1	2.387096774	1.857142857
10800	27	1	2.387096774	1.857142857
10820	28	0	2.387096774	1.857142857
10840	28	1	2.419354839	1.87755102
10860	29	1	2.419354839	1.857142857
10880	30	1	2.419354839	1.857142857
10900	31	49	2.419354839	1.836734694
12160	80	1	0.870967742	0.87755102
12180	81	2	0.870967742	0.87755102
12200	83	0	0.838709677	0.836734694
12220	83	0	0.870967742	0.87755102
12240	83	2	0.903225806	0.93877551
12260	85	2	0.870967742	0.93877551
12280	87	1	0.838709677	0.93877551
12300	88	0	0.838709677	0.93877551
12320	88	2	0.870967742	0.93877551
12340	90	1	0.838709677	0.897959184
12360	91	0	0.838709677	0.87755102
12380	91	1	0.838709677	0.87755102
12400	92	0	0.838709677	0.857142857
12420	92	1	0.870967742	0.857142857
12440	93	0	0.870967742	0.836734694
12460	93	1	0.870967742	0.836734694
12480	94	1	0.870967742	0.816326531
12500	95	0	0.838709677	0.795918367
12520	95	1	0.903225806	0.816326531
12540	96	1	0.903225806	0.795918367
12560	97	1	0.870967742	0.775510204
12580	98	1	0.903225806	0.836734694
12600	99	0	0.967741935	0.816326531
12620	99	1	1.032258065	0.87755102
12640	100	1	1.064516129	0.897959184
12660	101	1	1.064516129	0.87755102
12680	102	1	1.032258065	0.918367347
12700	103	1	1	0.897959184
12720	104	1	0.967741935	0.93877551
12740	105	1	0.935483871	0.959183673
12760	106	1	0.903225806	0.93877551
12780	107	1	0.870967742	0.979591837
12800	108	1	0.838709677	0.959183673
12820	109	1	0.806451613	0.979591837
12840	110	1	0.774193548	0.979591837
12860	111	1	0.741935484	1
12880	112	1	0.741935484	1.040816327
12900	113	1	0.709677419	1.040816327
12920	114	1	0.677419355	1.06122449
12940	115	1	0.774193548	1.06122449
12960	116	1	0.741935484	1.081632653
12980	117	0	0.806451613	1.12244898
13000	117	1	0.870967742	1.12244898
13020	118	1	0.838709677	1.163265306
13040	119	1	0.903225806	1.163265306
13060	120	0	0.870967742	1.183673469
13080	120	1	0.967741935	1.244897959
13100	121	0	1	1.224489796
13120	121	2	1	1.285714286
13140	123	1	1.032258065	1.244897959
13160	124	0	1	1.265306122
13180	124	2	1.064516129	1.285714286
13200	126	3	1.032258065	1.244897959
13220	129	2	1	1.244897959
13240	131	2	1.032258065	1.224489796
13260	133	1	1	1.224489796
13280	134	0	1.032258065	1.265306122
13300	134	0	1.064516129	1.265306122
13320	134	0	1.129032258	1.326530612
13340	134	0	1.225806452	1.326530612
13360	134	0	1.225806452	1.387755102
13380	134	0	1.322580645	1.387755102
13400	134	0	1.35483871	1.448979592
13420	134	0	1.419354839	1.489795918
13440	134	0	1.516129032	1.510204082
13460	134	0	1.516129032	1.551020408
13480	134	1	1.612903226	1.551020408
13500	135	0	1.580645161	1.591836735
13520	135	0	1.64516129	1.632653061
13540	135	4	1.677419355	1.673469388
13560	139	0	1.548387097	1.591836735
13580	139	3	1.64516129	1.591836735
13600	142	2	1.580645161	1.530612245
13620	144	0	1.580645161	1.489795918
13640	144	3	1.677419355	1.489795918
13660	147	0	1.580645161	1.428571429
13680	147	3	1.677419355	1.469387755
13700	150	2	1.580645161	1.448979592
13720	152	0	1.612903226	1.448979592
13740	152	3	1.612903226	1.489795918
13760	155	0	1.612903226	1.469387755
13780	155	2	1.677419355	1.510204082
13800	157	1	1.64516129	1.510204082
13820	158	2	1.677419355	1.530612245
13840	160	3	1.612903226	1.530612245
13860	163	1	1.612903226	1.510204082
13880	164	2	1.64516129	1.530612245
13900	166	1	1.64516129	1.530612245
13920	167	2	1.612903226	1.591836735
13940	169	3	1.548387097	1.551020408
13960	172	0	1.451612903	1.530612245
13980	172	3	1.451612903	1.571428571
14000	175	1	1.35483871	1.530612245
14020	176	2	1.322580645	1.510204082
14040	178	3	1.322580645	1.530612245
14060	181	0	1.290322581	1.469387755
14080	181	3	1.35483871	1.510204082
14100	184	0	1.322580645	1.469387755
14120	184	2	1.387096774	1.510204082
14140	186	1	1.387096774	1.489795918
14160	187	0	1.419354839	1.510204082
14180	187	3	1.483870968	1.571428571
14200	190	1	1.451612903	1.510204082
14220	191	2	1.483870968	1.551020408
14240	193	3	1.483870968	1.530612245
14260	196	0	1.451612903	1.510204082
14280	196	3	1.580645161	1.571428571
14300	199	0	1.483870968	1.530612245
14320	199	3	1.548387097	1.571428571
14340	202	0	1.516129032	1.571428571
14360	202	3	1.548387097	1.632653061
14380	205	2	1.451612903	1.591836735
14400	207	1	1.483870968	1.571428571
14420	208	2	1.451612903	1.591836735
14440	210	0	1.451612903	1.612244898
14460	210	3	1.483870968	1.673469388
14480	213	2	1.451612903	1.673469388
14500	215	2	1.419354839	1.653061224
14520	217	0	1.419354839	1.632653061
14540	217	0	1.516129032	1.653061224
14560	217	0	1.516129032	1.673469388
14580	217	0	1.612903226	1.693877551
14600	217	0	1.64516129	1.714285714
14620	217	0	1.709677419	1.734693878
14640	217	2	1.806451613	1.755102041
14660	219	2	1.774193548	1.714285714
14680	221	2	1.774193548	1.714285714
14700	223	2	1.806451613	1.693877551
14720	225	2	1.838709677	1.693877551
14740	227	2	1.806451613	1.693877551
14760	229	2	1.774193548	1.693877551
14780	231	2	1.774193548	1.714285714
14800	233	2	1.806451613	1.734693878
14820	235	2	1.838709677	1.755102041
14840	237	2	1.870967742	1.734693878
14860	239	2	1.838709677	1.714285714
14880	241	4	1.806451613	1.693877551
14900	245	0	1.709677419	1.632653061
14920	245	2	1.741935484	1.673469388
14940	247	2	1.709677419	1.673469388
14960	249	1	1.677419355	1.693877551
14980	250	0	1.677419355	1.734693878
15000	250	3	1.709677419	1.755102041
15020	253	0	1.612903226	1.734693878
15040	253	2	1.677419355	1.795918367
15060	255	1	1.64516129	1.775510204
15080	256	2	1.677419355	1.795918367
15100	258	1	1.677419355	1.816326531
15120	259	2	1.709677419	1.795918367
15140	261	3	1.741935484	1.816326531
15160	264	0	1.741935484	1.795918367
15180	264	3	1.838709677	1.795918367
15200	267	1	1.774193548	1.795918367
15220	268	2	1.774193548	1.816326531
15240	270	3	1.741935484	1.775510204
15260	273	1	1.677419355	1.714285714
15280	274	2	1.709677419	1.734693878
15300	276	3	1.709677419	1.755102041
15320	279	3	1.709677419	1.734693878
15340	282	1	1.709677419	1.673469388
15360	283	1	1.709677419	1.714285714
15380	284	2	1.741935484	1.734693878
15400	286	3	1.774193548	1.714285714
15420	289	3	1.709677419	1.714285714
15440	292	3	1.677419355	1.693877551
15460	295	1	1.677419355	1.653061224
15480	296	1	1.64516129	1.673469388
15500	297	1	1.709677419	1.714285714
15520	298	1	1.741935484	1.693877551
15540	299	1	1.709677419	1.714285714
15560	300	1	1.774193548	1.755102041
15580	301	1	1.806451613	1.755102041
15600	302	1	1.774193548	1.755102041
15620	303	0	1.741935484	1.775510204
15640	303	2	1.806451613	1.816326531
15660	305	1	1.838709677	1.816326531
15680	306	2	1.870967742	1.836734694
15700	308	2	1.806451613	1.836734694
15720	310	2	1.838709677	1.857142857
15740	312	3	1.838709677	1.87755102
15760	315	3	1.774193548	1.87755102
15780	318	3	1.774193548	1.87755102
15800	321	1	1.741935484	1.87755102
15820	322	1	1.741935484	1.918367347
15840	323	1	1.774193548	1.959183673
15860	324	1	1.838709677	1.979591837
15880	325	2	1.806451613	2.020408163
15900	327	2	1.806451613	2
15920	329	3	1.838709677	1.979591837
15940	332	3	1.774193548	1.93877551
15960	335	1	1.709677419	1.897959184
15980	336	2	1.741935484	1.897959184
16000	338	3	1.741935484	1.918367347
16020	341	1	1.709677419	1.918367347
16040	342	2	1.741935484	1.959183673
16060	344	3	1.741935484	1.93877551
16080	347	0	1.741935484	1.918367347
16100	347	3	1.838709677	1.93877551
16120	350	2	1.838709677	1.93877551
16140	352	0	1.870967742	1.959183673
16160	352	3	1.967741935	2
16180	355	2	1.967741935	2
16200	357	0	2	1.979591837
16220	357	0	2.064516129	2
16240	357	2	2.161290323	2.020408163
16260	359	3	2.129032258	2.040816327
16280	362	2	2.064516129	2.040816327
16300	364	0	2.032258065	2.06122449
16320	364	3	2.064516129	2.12244898
16340	367	2	2	2.12244898
16360	369	1	2.032258065	2.142857143
16380	370	3	2.096774194	2.183673469
16400	373	2	2.096774194	2.183673469
16420	375	1	2.064516129	2.204081633
16440	376	2	2.096774194	2.244897959
16460	378	3	2.064516129	2.265306122
16480	381	0	2.064516129	2.224489796
16500	381	2	2.161290323	2.244897959
16520	383	3	2.161290323	2.244897959
16540	386	1	2.161290323	2.244897959
16560	387	1	2.161290323	2.244897959
16580	388	2	2.161290323	2.265306122
16600	390	2	2.129032258	2.285714286
16620	392	2	2.161290323	2.244897959
16640	394	2	2.193548387	2.265306122
16660	396	2	2.225806452	2.244897959
16680	398	3	2.258064516	2.244897959
16700	401	3	2.258064516	2.244897959
16720	404	3	2.258064516	2.183673469
16740	407	3	2.258064516	2.183673469
16760	410	3	2.258064516	2.142857143
16780	413	3	2.258064516	2.12244898
16800	416	3	2.258064516	2.12244898
16820	419	2	2.258064516	2.12244898
