pwm値	ロリコン出力値	速度	20区間速度平均	20区間速度平均％表示		
0	0	0	0	0.000 		
40	0	0	0	0.000 		
60	0	0	0	0.000 		
80	0	0	0	0.000 		
100	0	0	0	0.000 		
120	0	0	0	0.000 		
140	0	0	0	0.000 		
160	0	0	0	0.000 		
180	0	0	0	0.000 		
200	0	0	0	0.000 		
220	0	0	0	0.000 		
240	0	0	0	0.000 		
260	0	0	0	0.000 		
280	0	0	0	0.000 		
300	0	0	0	0.000 		
320	0	0	0	0.000 		
340	0	0	0	0.000 		
360	0	0	0	0.000 		
380	0	0	0	0.000 		
400	0	0	0	0.000 		
420	0	0	0	0.000 		
440	0	0	0	0.000 		
460	0	0	0	0.000 		
480	0	0	0	0.000 		
500	0	0	0	0.000 		
520	0	0	0	0.000 		
540	0	0	0	0.000 		
560	0	0	0	0.000 		
580	0	0	0	0.000 		
600	0	0	0	0.000 		
620	0	0	0	0.000 		
640	0	0	0	0.000 		
660	0	0	0	0.000 		
680	0	0	0	0.000 		
700	0	0	0	0.000 		
720	0	0	0	0.000 		
740	0	0	0.004975124	0.136 		
760	0	0	0.004975124	0.136 		
780	0	0	0.004975124	0.136 		
800	0	0	0.004975124	0.136 		
820	0	0	0.004975124	0.136 		
840	0	0	0.004975124	0.136 		
860	0	0	0.004975124	0.136 		
880	0	0	0.004975124	0.136 		
900	0	0	0.004975124	0.136 		
920	0	0	0.004975124	0.136 		
940	0	0	0.004975124	0.136 		
960	0	0	0.004975124	0.136 		
980	0	0	0.004975124	0.136 		
1000	0	0	0.004975124	0.136 		
1020	0	0	0.004975124	0.136 		
1040	0	0	0.004975124	0.136 		
1060	0	0	0.004975124	0.136 		
1080	0	0	0.004975124	0.136 		
1100	0	0	0.004975124	0.136 		
1120	0	0	0.004975124	0.136 		
1140	0	0	0.004975124	0.136 		
1160	0	0	0.004975124	0.136 		
1180	0	0	0.004975124	0.136 		
1200	0	0	0.004975124	0.136 		
1220	0	0	0.004975124	0.136 		
1240	0	0	0.004975124	0.136 		
1260	0	0	0.004975124	0.136 		
1280	0	0	0.004975124	0.136 		
1300	0	0	0.004975124	0.136 		
1320	0	0	0.004975124	0.136 		
1340	0	0	0.004975124	0.136 		
1360	0	0	0.004975124	0.136 		
1380	0	0	0.004975124	0.136 		
1400	0	0	0.004975124	0.136 		
1420	0	0	0.004975124	0.136 		
1440	0	0	0.004975124	0.136 		
1460	0	0	0.004975124	0.136 		
1480	0	0	0.004975124	0.136 		
1500	0	0	0.004975124	0.136 		
1520	0	0	0.004975124	0.136 		
1540	0	0	0.004975124	0.136 		
1560	0	0	0.004975124	0.136 		
1580	0	0	0.004975124	0.136 		
1600	0	0	0.004975124	0.136 		
1620	0	0	0.004975124	0.136 		
1640	0	0	0.004975124	0.136 		
1660	0	0	0.004975124	0.136 		
1680	0	0	0.004975124	0.136 		
1700	0	0	0.004975124	0.136 		
1720	0	0	0.004975124	0.136 		
1740	0	0	0.004975124	0.136 		
1760	0	0	0.004975124	0.136 		
1780	0	0	0.004975124	0.136 		
1800	0	0	0.004975124	0.136 		
1820	0	0	0.004975124	0.136 		
1840	0	0	0.004975124	0.136 		
1860	0	0	0.004975124	0.136 		
1880	0	0	0.004975124	0.136 		
1900	0	0	0.004975124	0.136 		
1920	0	0	0.004975124	0.136 		
1940	0	0	0.004975124	0.136 		
1960	0	0	0.004975124	0.136 		
1980	0	0	0.004975124	0.136 		
2000	0	0	0.004975124	0.136 		
2020	0	0	0.004975124	0.136 		
2040	0	0	0.004975124	0.136 		
2060	0	0	0.004975124	0.136 		
2080	0	0	0.004975124	0.136 		
2100	0	0	0.004975124	0.136 		
2120	0	0	0.004975124	0.136 		
2140	0	0	0.004975124	0.136 		
2160	0	0	0.004975124	0.136 		
2180	0	0	0.004975124	0.136 		
2200	0	0	0.004975124	0.136 		
2220	0	0	0.004975124	0.136 		
2240	0	0	0.004975124	0.136 		
2260	0	0	0.004975124	0.136 		
2280	0	0	0.004975124	0.136 		
2300	0	0	0.004975124	0.136 		
2320	0	0	0.004975124	0.136 		
2340	0	0	0.004975124	0.136 		
2360	0	0	0.004975124	0.136 		
2380	0	0	0.004975124	0.136 		
2400	0	0	0.004975124	0.136 		
2420	0	0	0.004975124	0.136 		
2440	0	0	0.004975124	0.136 		
2460	0	0	0.004975124	0.136 		
2480	0	0	0.004975124	0.136 		
2500	0	0	0.004975124	0.136 		
2520	0	0	0.004975124	0.136 		
2540	0	0	0.004975124	0.136 		
2560	0	0	0.004975124	0.136 		
2580	0	0	0.004975124	0.136 		
2600	0	0	0.004975124	0.136 		
2620	0	0	0.004975124	0.136 		
2640	0	0	0.004975124	0.136 		
2660	0	0	0.004975124	0.136 		
2680	0	0	0.004975124	0.136 		
2700	0	0	0.004975124	0.136 		
2720	0	0	0.004975124	0.136 		
2740	0	0	0.004975124	0.136 		
2760	0	0	0.004975124	0.136 		
2780	0	0	0.004975124	0.136 		
2800	0	0	0.004975124	0.136 		
2820	0	0	0.004975124	0.136 		
2840	0	0	0.004975124	0.136 		
